QC_4_3,QC_4.1. Instrument bill payment 3
QC_4_4,QC_4.1. Instrument bill payment 4
QC_4_5,QC_4.1. Instrument bill payment 5
QC_4_6,QC_4.1. Instrument bill payment 6
QC_4_7,QC_4.1. Instrument bill payment 7
QC_4_8,QC_4.1. Instrument bill payment 8
QQ1_1,QQ1. Access to payment methods: Debit or credit card not c
QQ1_2,QQ1. Access to payment methods: Contactless debit or credit card
QQ1_3,QQ1. Access to payment methods: Bank cheque
QQ1_4,QQ1. Access to payment methods: Credit transfer
QQ1_5,QQ1. Access to payment methods: Direct debit
QQ1_6,QQ1. Access to payment methods: Internet payments methods
QQ1_7,QQ1. Access to payment methods: Mobile payment app
QQ1_8,QQ1. Access to payment methods: Crypto assets
QQ1_9,QQ1. Access to payment methods: Other
QQ1_10,QQ1. Access to payment methods: None
QQ1_11,QQ1. Access to payment methods: Don t know
QQ2,QQ2. Ease to withdraw cash from an ATM or a bank
QQ3,QQ3. Preferred payment instrument
QQ4,QQ4 Importance to have the option to use cash
QQ5_1,QQ5.1. Usual payment method: Rent or mortgage
QQ5_2,QQ5.2. Usual payment method: Electricity bill
QQ5_3,QQ5.3. Usual payment method: Telephone bill
QQ6,QQ6. Large withdrawal in previous month
QQ7_1,QQ7. Possession of EUR 500 banknote in last 12 months
QQ7_2,QQ7. Possession of EUR 200 banknote in last 12 months
QQ7_3,QQ7. Possession of EUR 100 banknote in last 12 months
QQ7_4,"QQ7.No possession of EUR 500, EUR 200 or EUR 100 banknote"
QQ7_5,"QQ7. Possession of EUR 500, EUR 200 or EUR 100 banknotes"
QQ7T_1,QQ7T. Possession of EUR 500 banknote or EUR 200 banknotes
QQ8,QQ8.Share of regular income received in cash
QQ9,QQ9.Keeps cash as precautionary reserve
QQ10,QQ10. Value of cash reserves
FinalWeight,FinalWeight. Final rescaled weight
GrossWeight,GrossWeight. Final weight grossed up to population totals
URBAN,URBAN. Urban or rural area
EDUCATION,EDUCATION. Highest level of education
INCOME,INCOME. Household monthly net income
AGE,AGE. Age
HHSIZE,HHSIZE. Household size
DEPCHILDREN,DEPCHILDREN. Number of economically dependent persons <=24
